,工件号,工序号,机器编号,起始时间,结束时间,加工时间,等待时间,运输时间
0,0.0,1.0,4.0,75.0,0.0,75.0,76.0,20.0
1,0.0,2.0,7.0,282.0,0.0,86.0,105.0,10.0
2,0.0,3.0,12.0,379.0,0.0,94.0,0.0,0.0
3,1.0,1.0,6.0,0.0,0.0,71.0,0.0,10.0
4,1.0,2.0,8.0,117.0,0.0,67.0,35.0,10.0
5,1.0,3.0,15.0,195.0,0.0,64.0,0.0,0.0
6,2.0,1.0,15.0,0.0,0.0,64.0,0.0,10.0
7,2.0,2.0,20.0,75.0,0.0,36.0,0.0,0.0
8,4.0,1.0,2.0,65.0,0.0,65.0,66.0,10.0
9,4.0,2.0,4.0,150.0,0.0,75.0,9.0,20.0
10,4.0,3.0,14.0,246.0,0.0,79.0,0.0,0.0
11,5.0,1.0,1.0,0.0,0.0,80.0,0.0,15.0
12,5.0,2.0,4.0,225.0,0.0,75.0,129.0,0.0
13,6.0,1.0,4.0,0.0,0.0,75.0,0.0,10.0
14,6.0,2.0,9.0,124.0,0.0,62.0,38.0,20.0
15,6.0,3.0,19.0,207.0,0.0,51.0,0.0,0.0
16,8.0,1.0,2.0,0.0,0.0,65.0,0.0,5.0
17,8.0,2.0,3.0,71.0,0.0,55.0,0.0,0.0
18,9.0,1.0,5.0,0.0,110.0,80.0,30.0,5.0
19,9.0,2.0,6.0,116.0,187.0,71.0,0.0,0.0
20,10.0,1.0,27.0,0.0,118.0,118.0,0.0,20.0
21,10.0,2.0,18.0,139.0,215.0,46.0,30.0,20.0
22,10.0,3.0,22.0,325.0,449.0,124.0,89.0,0.0
23,11.0,1.0,25.0,0.0,98.0,98.0,0.0,5.0
24,11.0,2.0,19.0,104.0,185.0,51.0,30.0,15.0
25,11.0,3.0,22.0,201.0,325.0,124.0,0.0,0.0
26,12.0,1.0,5.0,110.0,0.0,80.0,82.0,10.0
27,12.0,2.0,7.0,368.0,0.0,86.0,167.0,10.0
28,12.0,3.0,9.0,465.0,0.0,62.0,0.0,0.0
29,13.0,1.0,9.0,0.0,0.0,62.0,0.0,10.0
30,13.0,2.0,14.0,73.0,0.0,79.0,0.0,0.0
31,14.0,1.0,7.0,0.0,0.0,86.0,0.0,15.0
32,14.0,2.0,10.0,102.0,0.0,77.0,0.0,5.0
33,14.0,3.0,16.0,185.0,0.0,59.0,0.0,0.0
34,15.0,1.0,8.0,50.0,0.0,67.0,0.0,10.0
35,15.0,2.0,13.0,128.0,0.0,89.0,0.0,10.0
36,15.0,3.0,20.0,228.0,0.0,36.0,0.0,0.0
37,16.0,1.0,9.0,62.0,0.0,62.0,12.0,25.0
38,16.0,2.0,11.0,150.0,0.0,109.0,0.0,10.0
39,16.0,3.0,23.0,270.0,0.0,139.0,0.0,0.0
40,17.0,1.0,25.0,98.0,0.0,98.0,48.0,5.0
41,17.0,2.0,26.0,202.0,0.0,103.0,0.0,0.0
42,18.0,1.0,1.0,80.0,160.0,80.0,30.0,5.0
43,18.0,2.0,7.0,166.0,282.0,86.0,30.0,0.0
44,19.0,1.0,4.0,300.0,375.0,75.0,250.0,25.0
45,19.0,2.0,6.0,401.0,472.0,71.0,0.0,25.0
46,19.0,3.0,16.0,498.0,587.0,59.0,30.0,0.0
